"NT_RKO.rank"	"NT_COL.rank"	"AraC.rank"	"HU.rank"	"Aph.rank"
"ACOT11"	214	182	190	274	348
"ACOT12"	592	42	36	39	71
"ACOT13"	227	1305	332	667	258
"ACOT2"	947	833	1321	781	1422
"ACOT4"	767	629	980	1161	136
"ACOT6"	1222	221	988	641	881
"ACOT7"	1053	89	208	1108	146
"ACOT8"	589	33	112	809	1107
"ACOT9"	239	1343	291	511	300
"ACOX1"	1057	169	238	1032	1294
"ACOX2"	664	1483	1185	34	1044
"ACOX3"	449	745	530	686	582
"ACOXL"	34	1159	21	1186	128
"ACP1"	163	267	366	871	702
"ACP2"	1169	1361	446	1026	1304
"ACP5"	570	527	357	1022	1069
"ACP6"	1485	108	1098	1479	557
"ACPL2"	650	316	1159	263	141
"ACPP"	942	572	1141	875	1440
"ACPT"	1072	699	931	883	58
"ACR"	316	1213	518	706	951
"ACRBP"	380	61	1495	428	1493
"ACRC"	1100	777	317	1244	337
"ACRV1"	763	969	1146	966	1389
"ACSBG1"	103	1437	1014	1298	742
"ACSBG2"	1221	1181	651	939	194
"ACSF2"	3	993	4	2	53
"ACSF3"	183	1172	450	462	339
"ACSL1"	1204	638	1033	1477	1253
"ACSL3"	195	1313	58	1019	289
"ACSL4"	459	1473	568	501	837
"ACSL5"	156	1032	217	526	413
"ACSL6"	679	795	775	973	298
"ACSM1"	1440	816	516	219	169
"ACSM2A"	632	867	1169	688	1241
"ACSM2B"	90	973	838	449	824
"ACSM3"	76	901	522	553	531
"ACSM4"	98	44	460	144	85
"ACSM5"	80	1142	590	284	1265
"ACSS1"	826	1420	71	596	548
"ACSS2"	1480	1355	925	819	1489
"ACSS3"	809	327	766	389	876
"ACTA1"	358	554	138	1416	505
"ACTA2"	107	950	777	1093	1322
"ACTB"	480	473	580	1449	115
"ACTBL2"	878	1044	370	816	753
"ACTC1"	280	1374	1202	552	1055
"ACTG1"	154	179	322	1404	1215
"ACTG2"	1336	476	801	498	1360
"ACTL10"	1239	937	950	233	907
"ACTL6A"	51	1429	852	1285	279
"ACTL6B"	870	852	192	1292	153
"ACTL7A"	697	566	1079	180	443
"ACTL7B"	1179	809	1196	436	772
"ACTL8"	1286	151	1340	1044	1040
"ACTL9"	481	749	1231	421	1371
"ACTN1"	1191	227	1093	1105	799
"ACTN2"	617	400	1038	177	1311
"ACTN4"	77	560	548	757	24
"ACTR10"	590	196	275	60	484
"ACTR1A"	791	716	737	968	1453
"ACTR1B"	410	1076	1066	960	1318
"ACTR2"	1457	690	810	198	208
"ACTR3"	492	759	611	702	226
"ACTR3B"	416	1255	707	1042	452
"ACTR3C"	142	150	15	6	37
"ACTR5"	851	1279	990	1401	609
"ACTR6"	1040	764	853	762	434
"ACTR8"	289	1015	686	287	638
"ACTRT1"	431	349	462	1166	936
"ACTRT2"	294	564	127	1055	487
"ACTRT3"	1274	540	76	160	1127
"ACVR1"	1281	1040	122	90	369
"ACVR1B"	788	1465	683	620	965
"ACVR1C"	179	1367	1458	1290	1388
"ACVR2A"	314	516	1124	347	1345
"ACVR2B"	326	1294	679	1236	532
"ACVRL1"	622	670	404	1315	1071
"ACY1"	1469	1314	315	232	625
"ACY3"	640	671	854	1091	1281
"ACYP1"	162	386	940	208	299
"ACYP2"	1431	555	1325	1440	727
"ADA"	1407	721	1194	983	181
"ADAD1"	385	287	935	1080	1392
"ADAD2"	555	996	619	1337	912
"ADAL"	709	440	1443	1305	1301
"ADAM10"	919	590	1055	1451	1082
"ADAM11"	1155	651	1012	264	418
"ADAM12"	1383	966	1373	914	584
"ADAM15"	242	589	1218	759	630
"ADAM17"	344	970	177	22	978
"ADAM18"	875	1063	966	155	292
"ADAM19"	263	1477	560	1445	514
"ADAM2"	1235	776	1114	152	1097
"ADAM20"	973	1281	236	238	845
"ADAM21"	494	866	495	1302	190
"ADAM22"	440	1232	1269	1450	266
"ADAM23"	674	191	1097	1355	981
"ADAM28"	75	1464	1046	1287	789
"ADAM29"	1139	345	627	965	850
"ADAM30"	982	1485	848	981	444
"ADAM32"	825	239	1226	608	686
"ADAM33"	1009	226	463	412	956
"ADAM7"	452	1277	677	832	1446
"ADAM8"	1183	931	855	444	1486
"ADAM9"	1026	822	1040	1229	1485
"ADAMDEC1"	644	689	678	1058	1313
"ADAMTS1"	573	1380	1298	235	349
"ADAMTS10"	656	1266	411	766	887
"ADAMTS12"	572	70	583	1276	924
"ADAMTS13"	363	524	219	43	1326
"ADAMTS14"	1135	1328	794	223	1390
"ADAMTS15"	724	967	1076	470	644
"ADAMTS16"	489	331	20	273	113
"ADAMTS17"	1079	47	1096	1456	304
"ADAMTS18"	1316	1457	1375	679	156
"ADAMTS19"	161	1118	1200	1297	1312
"ADAMTS2"	1421	679	644	1049	438
"ADAMTS20"	388	261	844	142	186
"ADAMTS3"	1237	434	121	488	255
"ADAMTS4"	1004	1422	1027	1002	745
"ADAMTS5"	400	939	1409	628	622
"ADAMTS7"	1219	1014	563	1385	1038
"ADAMTS8"	1001	1325	341	1366	914
"ADAMTS9"	535	1388	29	46	11
"ADAMTSL1"	1497	983	549	477	232
"ADAMTSL2"	1308	704	875	260	51
"ADAMTSL3"	104	1413	393	1147	1047
"ADAMTSL4"	53	1048	787	1386	816
"ADAMTSL4-AS1"	387	696	468	940	135
"ADAMTSL5"	1288	275	595	153	1283
"ADAP1"	879	922	1482	583	485
"ADAP2"	863	51	698	956	542
"ADAR"	365	132	52	682	84
"ADARB1"	1044	1320	1074	1087	1335
"ADARB2"	497	654	169	577	1220
"ADAT1"	549	1500	735	214	805
"ADAT2"	611	792	616	1001	800
"ADAT3"	819	1061	1088	1011	795
"ADC"	1122	536	158	1005	1327
"ADCK1"	55	1289	994	81	1012
"ADCK2"	708	640	1238	372	1085
"ADCK3"	336	215	477	1347	711
"ADCK4"	265	891	419	982	284
"ADCK5"	40	897	575	495	740
"ADCY1"	277	819	902	1119	616
"ADCY10"	13	131	643	319	373
"ADCY2"	737	1445	1034	343	781
"ADCY3"	969	487	716	8	947
"ADCY4"	862	1023	1402	547	635
"ADCY5"	421	27	891	1387	1494
"ADCY6"	4	28	8	32	42
"ADCY7"	138	669	812	1037	998
"ADCY8"	1071	195	1318	1269	974
"ADCY9"	1194	93	223	256	390
"ADCYAP1"	259	52	162	290	1358
"ADCYAP1R1"	1458	1487	1267	41	862
"ADD1"	433	518	355	782	1057
"ADD2"	341	220	1302	1263	663
"ADD3"	1455	266	1174	397	815
"ADGB"	872	160	833	821	391
"ADH1A"	1181	856	1227	677	893
"ADH1B"	687	1260	1235	242	345
"ADH4"	478	352	769	910	367
"ADH5"	507	260	63	749	641
"ADH6"	268	979	867	1007	1445
"ADH7"	1390	202	578	1378	1073
"ADHFE1"	1158	917	955	1036	592
"ADI1"	1270	1084	634	1003	1410
"ADIG"	1454	676	879	729	1221
"ADIPOQ"	1150	666	98	95	1005
"ADIPOR1"	261	82	734	586	701
"ADIPOR2"	777	1346	1028	959	860
"ADIRF"	828	884	1103	1141	429
"ADK"	1174	165	120	1279	8
"ADM"	893	1327	741	349	1192
"ADM2"	1439	756	1355	373	736
"ADM5"	528	1481	892	880	1409
"ADNP"	141	284	620	1140	225
"ADNP2"	28	155	908	1377	464
"ADO"	626	761	1164	895	1117
"ADORA1"	504	166	82	1321	389
"ADORA2A"	594	1088	1224	991	725
"ADORA2B"	422	186	543	1259	946
"ADORA3"	840	1197	508	1076	668
"ADPGK"	1303	282	585	1072	475
"ADPRH"	1208	576	839	669	612
"ADPRHL1"	1013	613	145	1170	6
"ADPRHL2"	880	503	334	777	94
"ADPRM"	718	655	459	635	358
"ADRA1A"	1102	441	1007	521	575
"ADRA1B"	747	738	628	484	17
"ADRA1D"	1488	868	1378	1204	650
"ADRA2A"	127	1484	1084	1117	911
"ADRA2B"	599	1399	326	429	1456
"ADRA2C"	24	263	64	200	55
"ADRB1"	499	574	89	21	119
"ADRB2"	741	118	603	186	1471
"ADRB3"	426	1382	1437	445	93
"ADRBK1"	356	413	837	732	875
"ADRBK2"	1272	298	1330	673	559
"ADRM1"	85	342	417	509	786
"ADSL"	766	211	1479	1175	877
"ADSS"	518	1259	587	1273	957
"ADSSL1"	331	15	1475	977	1049
"ADTRP"	41	278	995	1118	1413
"AEBP1"	639	1440	456	575	855
"AEBP2"	938	1090	1138	993	1205
"AEN"	749	818	639	38	215
"AES"	415	201	1104	828	977
"AFAP1"	1456	948	1062	1349	929
"AFAP1L1"	551	735	1349	1014	1481
"AFAP1L2"	262	1097	171	999	1001
"AFF1"	1340	31	49	907	1182
"AFF2"	933	172	1147	902	140
"AFF3"	188	465	799	57	827
"AFF4"	1360	294	282	379	1399
"AFG3L2"	614	157	243	1492	1459
"AFM"	790	240	1035	161	98
"AFMID"	559	439	645	1265	439
"AFP"	1396	945	1225	420	590
"AFTPH"	152	1365	666	1237	831
"AGA"	131	103	124	12	307
"AGAP1"	349	1474	123	165	54
"AGAP2"	218	1258	609	1376	792
"AGAP3"	1398	1467	125	1073	96
"AGBL1"	45	1275	372	1345	1030
"AGBL2"	424	276	1360	756	1119
"AGBL3"	765	1186	178	1160	381
"AGBL4"	690	618	797	376	1350
"AGBL5"	874	1317	133	1213	960
"AGER"	48	203	210	504	218
"AGFG1"	1416	1494	174	944	1435
"AGFG2"	409	1249	1228	630	515
"AGGF1"	704	326	1162	304	1195
"AGK"	435	1209	440	610	44
"AGL"	545	1246	1142	1008	1172
"AGMAT"	800	772	588	1165	838
"AGMO"	1238	495	1072	865	1239
"AGO1"	1074	872	715	116	990
"AGO2"	958	1276	790	275	570
"AGO3"	432	116	25	1464	908
"AGO4"	780	949	160	399	1004
"AGPAT1"	760	705	35	1085	558
"AGPAT2"	537	1323	1431	307	909
"AGPAT3"	1309	1196	211	505	414
"AGPAT4"	498	41	743	846	271
"AGPAT5"	444	836	1285	3	528
"AGPAT6"	1362	709	1268	525	821
"AGPAT9"	1461	1188	710	636	720
"AGPS"	1120	904	1483	1380	724
"AGR2"	19	59	9	250	19
"AGR3"	1500	537	1273	800	150
"AGRN"	86	320	1182	672	627
"AGRP"	804	791	1299	1476	1126
"AGT"	1210	846	287	97	478
"AGTPBP1"	715	551	1123	684	1191
"AGTR1"	306	863	964	1235	321
"AGTR2"	898	57	1472	1212	1013
"AGTRAP"	762	1252	722	182	1319
"AGXT"	1010	1250	561	293	1417
"AGXT2"	1014	810	699	530	676
"AHCTF1"	952	164	762	1227	597
"AHCY"	1447	892	1274	1238	541
"AHCYL1"	269	734	1265	1308	378
"AHCYL2"	773	968	1387	1267	123
"AHDC1"	842	432	365	1084	1078
"AHI1"	1218	938	706	924	1433
"AHNAK"	1021	43	1195	69	545
"AHNAK2"	323	788	53	96	205
"AHR"	983	420	625	755	285
"AHRR"	723	711	1229	715	1262
"AHSA1"	150	325	544	722	1011
"AHSA2"	398	907	1149	1266	397
"AHSG"	1283	258	494	291	1169
"AHSP"	64	219	426	401	246
"AICDA"	680	1263	1331	1206	1343
"AIDA"	1090	1295	738	1346	173
"AIF1"	974	898	1064	625	1285
"AIF1L"	308	1370	893	559	926
"AIFM1"	1402	744	109	315	1185
"AIFM2"	1012	268	113	289	524
"AIFM3"	905	271	805	480	1061
"AIG1"	168	143	1101	1038	416
"AIM1"	425	855	555	105	647
"AIM1L"	695	9	434	1328	530
"AIM2"	302	114	871	568	599
"AIMP1"	816	1300	321	394	1079
"AIMP2"	1326	1008	1496	563	684
"AIP"	509	558	1376	794	1296
"AIPL1"	343	373	472	1463	134
"AIRE"	1315	125	1324	454	259
"AJAP1"	1192	615	1403	1151	411
"AJUBA"	309	942	842	1435	1250
"AK1"	1067	193	974	1210	952
"AK2"	460	1231	1008	1156	735
"AK3"	961	501	948	850	906
"AK4"	964	1471	1144	892	1080
"AK5"	1080	124	313	1433	993
"AK7"	187	232	1005	101	1170
"AK8"	1124	1335	689	1407	980
"AK9"	929	1052	613	569	688
"AKAP1"	313	865	271	482	143
"AKAP10"	283	1155	136	512	214
"AKAP11"	108	985	276	707	425
"AKAP12"	32	22	43	167	26
"AKAP13"	1242	30	1167	154	374
"AKAP14"	1419	1329	1087	1362	1248
"AKAP2"	2	404	135	1	2
"AKAP3"	92	280	270	1051	343
"AKAP4"	1024	458	579	826	886
"AKAP5"	662	650	373	1270	1101
"AKAP6"	1117	113	1209	1010	500
"AKAP7"	802	443	273	406	1095
"AKAP8"	932	46	670	301	619
"AKAP8L"	1313	976	596	271	810
"AKAP9"	515	137	704	827	1259
"AKIP1"	1297	875	429	696	749
"AKIRIN1"	443	120	1451	1306	1034
"AKIRIN2"	557	717	671	1209	861
"AKNA"	1442	1018	1254	1444	674
"AKNAD1"	178	1227	676	133	341
"AKR1A1"	6	8	302	1481	1
"AKR1B1"	948	815	254	793	567
"AKR1B10"	1025	1344	843	277	870
"AKR1B15"	1492	876	817	922	777
"AKR1C2"	1266	1091	319	36	554
"AKR1C3"	347	292	1466	9	249
"AKR1C4"	1019	414	451	919	915
"AKR1D1"	554	583	466	1397	66
