"NT_RKO.rank"	"NT_COL.rank"	"AraC.rank"	"HU.rank"	"Aph.rank"
"ANKRD66"	351	843	333	143	1187
"ANKRD7"	411	409	1377	1339	233
"ANKRD9"	1110	1238	348	1157	602
"ANKS1A"	1377	582	99	604	1369
"ANKS1B"	1325	1284	691	282	1438
"ANKS3"	191	712	1002	710	188
"ANKS4B"	1394	1254	1320	1382	834
"ANKS6"	204	1127	622	294	395
"ANKUB1"	407	529	395	1046	1165
"ANKZF1"	1256	656	251	518	137
"ANLN"	1230	697	1248	1486	144
"ANO1"	575	719	608	920	565
"ANO10"	1054	1125	1214	1137	718
"ANO2"	778	1242	1433	1441	470
"ANO3"	924	353	394	1065	207
"ANO4"	1212	592	252	367	1353
"ANO5"	311	1069	437	603	294
"ANO6"	999	1265	1297	1064	934
"ANO7"	906	779	1294	842	836
"ANO8"	525	517	1312	1096	835
"ANO9"	198	1287	1205	1257	1181
"ANP32A"	521	1190	118	1053	569
"ANP32B"	190	87	304	72	9
"ANP32D"	447	974	746	847	1129
"ANP32E"	643	946	744	448	468
"ANPEP"	601	392	11	442	209
"ANTXR1"	612	778	1279	1018	323
"ANTXR2"	1248	936	350	1461	918
"ANTXRL"	1104	1369	1462	1106	1212
"ANXA1"	1495	682	41	453	873
"ANXA10"	1133	793	1283	346	1499
"ANXA11"	1007	1290	934	1218	847
"ANXA13"	752	528	909	109	1418
"ANXA2"	1489	1338	289	538	68
"ANXA2R"	798	725	920	339	1232
"ANXA3"	1475	1432	180	312	518
"ANXA4"	18	955	194	646	399
"ANXA5"	700	364	807	915	1125
"ANXA6"	1470	928	1447	478	297
"ANXA7"	1278	10	696	845	1176
"ANXA9"	817	796	1381	992	586
"AOAH"	1404	86	400	1224	1341
"AOC1"	1196	1161	1065	1472	1282
"AOC2"	106	249	31	1468	151
"AOC3"	941	569	898	711	699
"AOX1"	966	1178	901	286	728
"AP001816.1"	814	1239	246	253	419
"AP003774.4"	558	1273	919	218	492
"AP1AR"	1060	1404	198	362	1381
"AP1B1"	1052	782	693	866	1157
"AP1G1"	82	1449	1110	103	809
"AP1G2"	610	643	140	1409	72
"AP1M1"	960	200	1385	1344	287
"AP1M2"	260	1337	239	395	350
"AP1S1"	827	1121	618	1250	75
"AP1S2"	541	799	50	621	649
"AP1S3"	903	1226	1450	998	1206
"AP2A1"	1273	1410	1201	1375	124
"AP2A2"	428	112	989	94	427
"AP2B1"	569	100	57	164	10
"AP2M1"	1112	384	277	899	1199
"AP2S1"	488	588	1467	653	1302
"AP3B1"	904	739	1257	997	442
"AP3B2"	252	60	921	1338	133
"AP3D1"	957	522	1239	811	513
"AP3M1"	453	1490	197	995	973
"AP3M2"	126	1460	407	720	534
"AP3S1"	911	1085	551	230	732
"AP3S2"	485	634	46	254	869
"AP4B1"	401	1092	1128	1200	1155
"AP4E1"	655	1357	1493	279	1233
"AP4M1"	992	874	1058	748	1411
"AP4S1"	305	461	727	169	651
"AP5B1"	1342	542	884	1202	440
"AP5M1"	266	1051	390	1369	400
"AP5S1"	1291	1306	471	1185	667
"AP5Z1"	583	1045	83	224	830
"APAF1"	688	1074	984	1177	198
"APBA1"	361	1004	418	1398	102
"APBA2"	619	374	207	867	386
"APBA3"	886	1435	986	680	846
"APBB1"	465	228	822	1182	1213
"APBB1IP"	588	700	213	299	677
"APBB2"	682	1272	765	1352	245
"APBB3"	935	1470	448	44	705
"APC"	631	1173	944	216	714
"APC2"	1410	775	380	1103	1235
"APCDD1"	1034	637	949	986	355
"APCDD1L"	1335	862	1380	1415	1007
"APCS"	292	346	655	887	1333
"APEH"	291	1001	1242	316	1160
"APEX1"	1429	905	862	364	1198
"APEX2"	865	557	18	119	15
"APH1A"	233	797	244	1171	1149
"APH1B"	65	76	14	1013	36
"API5"	801	1140	905	331	274
"APIP"	10	861	81	13	13
"APLF"	566	1146	570	1219	87
"APLN"	1445	1307	1060	354	1008
"APLNR"	701	612	1089	461	871
"APLP1"	1463	1400	856	987	1364
"APLP2"	94	512	354	1427	681
"APMAP"	483	1218	985	1342	961
"APOA1"	706	600	958	772	673
"APOA1BP"	574	397	22	1373	86
"APOA2"	726	1407	991	1272	1452
"APOA4"	912	156	141	716	449
"APOA5"	373	1147	1112	834	382
"APOB"	534	214	353	1408	1091
"APOBEC1"	815	79	753	765	682
"APOBEC2"	1193	984	301	262	47
"APOBEC3A"	38	752	75	73	108
"APOBEC3B"	517	497	473	1135	854
"APOBEC3C"	836	324	524	313	370
"APOBEC3D"	606	1145	186	659	424
"APOBEC3F"	1154	975	368	861	1398
"APOBEC3G"	976	841	339	212	342
"APOBEC3H"	1403	388	668	699	889
"APOBEC4"	818	762	1401	1240	707
"APOBR"	454	741	656	876	1431
"APOC1"	984	506	904	70	1090
"APOC3"	503	755	1357	558	664
"APOC4"	702	119	1418	1421	211
"APOD"	955	347	1157	837	1145
"APOE"	1081	1444	976	147	1100
"APOF"	1068	438	1412	1271	1366
"APOH"	1236	1130	1092	872	1498
"APOL1"	774	1311	952	1405	890
"APOL2"	139	257	1127	1188	303
"APOL3"	213	167	150	4	184
"APOL4"	1353	104	992	305	583
"APOL5"	1450	888	1178	1356	1106
"APOL6"	832	478	1400	48	1244
"APOLD1"	1121	1493	1082	1359	463
"APOM"	719	926	1051	901	393
"APOO"	220	729	182	257	1033
"APOOL"	1484	1461	1477	1436	1323
"APOPT1"	1137	83	1480	769	1059
"APP"	891	337	74	566	147
"APPBP2"	1118	73	1000	988	1355
"APPL1"	68	882	1388	855	867
"APPL2"	389	398	979	507	997
"APRT"	155	1002	730	486	790
"APTX"	722	498	541	778	691
"AQP1"	173	363	878	945	1077
"AQP10"	717	308	1233	593	607
"AQP11"	824	765	943	791	750
"AQP2"	1305	732	968	654	543
"AQP3"	1003	1292	131	265	1064
"AQP4"	137	1187	181	438	35
"AQP5"	1453	233	1172	54	406
"AQP6"	287	532	155	203	1111
"AQP8"	89	774	770	173	972
"AQP9"	234	1089	880	1452	457
"AQPEP"	1182	539	464	127	1495
"AQR"	238	256	826	1139	100
"AR"	1031	6	713	89	544
"ARAF"	165	660	772	503	469
"ARAP1"	1473	1309	977	1340	1406
"ARAP2"	194	424	1052	163	849
"ARAP3"	207	1182	1122	330	687
"ARC"	896	1183	296	393	317
"ARCN1"	637	1035	1090	1319	526
"AREL1"	146	1191	367	598	405
"ARF1"	8	5	38	17	110
"ARF3"	751	1482	783	476	882
"ARF4"	147	1385	398	333	1337
"ARF5"	846	870	903	576	1478
"ARF6"	838	1436	1220	51	371
"ARFGAP1"	835	190	202	893	230
"ARFGAP2"	675	244	148	1217	1436
"ARFGAP3"	1201	731	780	1180	1251
"ARFGEF1"	808	229	311	691	267
"ARFGEF2"	135	1079	453	1131	57
"ARFIP1"	989	1012	525	1234	546
"ARFIP2"	1300	562	954	1127	1404
"ARFRP1"	1224	4	175	514	228
"ARG1"	1255	1026	532	321	864
"ARG2"	598	421	809	351	360
"ARGFX"	119	1103	533	243	696
"ARGLU1"	1147	623	1197	889	1403
"ARHGAP1"	750	494	96	640	988
"ARHGAP10"	892	1106	1240	139	1124
"ARHGAP11A"	848	448	711	1351	1113
"ARHGAP12"	1451	698	1056	607	1164
"ARHGAP15"	333	804	1140	1000	1116
"ARHGAP17"	430	281	1031	1304	229
"ARHGAP18"	359	50	1435	1074	880
"ARHGAP19"	487	737	542	651	1278
"ARHGAP20"	1200	1442	1424	1101	604
"ARHGAP21"	522	570	1382	824	1490
"ARHGAP22"	867	694	1256	989	56
"ARHGAP23"	229	1029	672	638	50
"ARHGAP24"	60	1057	44	752	441
"ARHGAP25"	1234	198	458	190	812
"ARHGAP26"	1243	1364	1288	713	818
"ARHGAP27"	321	185	632	171	1370
"ARHGAP28"	727	348	500	1439	1340
"ARHGAP29"	539	1406	1362	949	623
"ARHGAP30"	1078	736	193	1418	1045
"ARHGAP31"	384	963	1137	1121	1293
"ARHGAP32"	1275	1177	725	1164	783
"ARHGAP33"	1105	241	1192	199	560
"ARHGAP35"	667	299	1179	496	658
"ARHGAP36"	1076	1194	1486	896	743
"ARHGAP39"	1392	1447	1370	1283	1408
"ARHGAP4"	716	695	1241	573	1474
"ARHGAP42"	542	780	763	723	1144
"ARHGAP44"	1002	140	1304	1114	1252
"ARHGAP5"	1481	1009	1204	1325	1159
"ARHGAP6"	124	881	37	701	28
"ARHGAP8"	1304	1454	754	1289	461
"ARHGAP9"	523	307	396	107	1314
"ARHGDIA"	1368	1373	1498	1499	1500
"ARHGDIB"	649	489	314	386	261
"ARHGDIG"	258	728	937	191	848
"ARHGEF1"	931	1409	265	209	700
"ARHGEF10"	604	1358	387	1021	490
"ARHGEF10L"	63	222	647	168	1263
"ARHGEF11"	200	1216	305	30	165
"ARHGEF12"	1123	1204	263	533	1039
"ARHGEF15"	1408	790	452	602	404
"ARHGEF16"	253	883	258	380	1334
"ARHGEF17"	247	339	962	633	611
"ARHGEF18"	754	1496	147	717	61
"ARHGEF19"	199	854	514	374	82
"ARHGEF2"	394	988	241	1110	571
"ARHGEF25"	917	635	1171	597	1316
"ARHGEF26"	254	961	312	345	313
"ARHGEF28"	1047	990	1223	1159	236
"ARHGEF3"	936	64	657	220	944
"ARHGEF33"	1056	1236	731	1149	451
"ARHGEF37"	1337	502	1393	276	489
"ARHGEF38"	390	1270	835	130	697
"ARHGEF39"	244	1193	1049	780	943
"ARHGEF4"	547	645	154	251	1264
"ARHGEF40"	728	470	729	615	721
"ARHGEF5"	175	908	565	226	1025
"ARHGEF6"	635	285	930	869	776
"ARHGEF7"	423	368	490	735	1086
"ARHGEF9"	560	323	224	546	624
"ARID1A"	1168	710	936	1104	453
"ARID1B"	1136	1119	264	210	999
"ARID2"	548	1368	408	45	45
"ARID3A"	533	978	1120	1129	336
"ARID3B"	1092	442	1105	776	315
"ARID3C"	755	1293	1070	985	161
"ARID4A"	91	301	433	1115	5
"ARID4B"	1320	1402	438	1403	1217
"ARID5A"	1119	65	104	31	494
"ARID5B"	991	180	1309	1113	465
"ARIH1"	615	312	1339	726	942
"ARIH2"	1400	910	1246	63	919
"ARIH2OS"	1113	158	399	818	1276
"ARL1"	1395	767	1150	719	945
"ARL10"	1228	471	1118	66	754
"ARL11"	849	96	718	733	1052
"ARL13A"	140	1134	953	1402	1131
"ARL13B"	1093	1324	540	310	473
"ARL14"	1114	194	674	217	175
"ARL14EP"	1083	994	1106	674	460
"ARL15"	579	181	206	1260	814
"ARL16"	1355	38	1356	183	953
"ARL2"	636	1192	1068	1201	166
"ARL2BP"	1211	1424	1415	1228	1167
"ARL3"	396	573	173	963	1037
"ARL4A"	402	730	978	1100	660
"ARL4C"	1331	1498	1116	906	1309
"ARL4D"	734	12	384	627	1339
"ARL5A"	965	835	733	1252	621
"ARL5B"	1065	1450	547	117	401
"ARL5C"	581	396	1392	1090	1395
"ARL6"	128	335	702	1478	511
"ARL6IP1"	645	642	913	560	672
"ARL6IP4"	855	1297	1155	1426	1455
"ARL6IP5"	505	1164	1272	121	920
"ARL6IP6"	31	428	897	515	227
"ARL8A"	783	873	705	1487	525
"ARL8B"	1317	1386	507	1475	991
"ARL9"	1202	1036	1168	785	796
"ARMC1"	376	1123	493	1098	1134
"ARMC10"	222	603	16	825	1018
"ARMC12"	756	571	1057	464	930
"ARMC2"	857	733	819	813	891
"ARMC3"	633	1229	467	86	1477
"ARMC4"	54	674	669	1330	746
"ARMC5"	1132	1257	85	1353	202
"ARMC6"	143	309	802	737	820
"ARMC7"	414	1064	30	767	1249
"ARMC8"	1406	1027	740	594	76
"ARMC9"	27	288	1300	580	828
"ARMCX1"	1251	1120	546	1035	318
"ARMCX2"	339	187	414	353	107
"ARMCX3"	1	7	1	1428	3
"ARMCX4"	1096	769	688	561	678
"ARMCX5"	241	133	284	7	268
"ARMCX6"	1206	954	1261	731	685
"ARMS2"	482	379	88	15	1109
"ARNT"	894	1152	1099	658	408
"ARNT2"	922	139	1438	572	671
"ARNTL"	1348	449	212	400	703
"ARNTL2"	1170	1047	1010	1437	1256
"ARPC1A"	1087	78	1404	65	1290
"ARPC1B"	496	893	364	383	206
"ARPC2"	58	687	318	929	587
"ARPC3"	1180	1319	401	517	564
"ARPC4"	1129	251	126	337	272
"ARPC5"	1391	579	785	192	600
"ARPC5L"	1145	1033	556	128	734
"ARPP19"	1161	1158	225	266	231
"ARPP21"	16	253	62	10	603
"ARR3"	1381	1426	939	718	138
"ARRB1"	369	1151	250	750	1048
"ARRB2"	1011	1083	1181	528	1231
"ARRDC1"	282	575	1102	554	132
"ARRDC2"	1017	492	912	172	1189
"ARRDC3"	248	433	1119	1190	158
"ARRDC4"	473	1438	761	622	722
"ARRDC5"	455	641	562	472	1273
"ARSA"	335	909	956	342	639
"ARSB"	370	886	1259	856	508
"ARSD"	463	992	574	469	923
"ARSE"	1319	693	1422	85	394
"ARSF"	845	474	945	1189	1354
"ARSG"	404	770	1411	957	1368
"ARSH"	243	454	102	432	775
"ARSI"	970	1241	806	92	295
"ARSJ"	1064	653	1094	1381	1242
"ARSK"	651	924	1369	885	669
"ART1"	975	1041	1154	1274	333
"ART3"	49	3	12	26	262
"ART4"	21	1310	26	928	265
"ART5"	29	66	295	159	516
"ARTN"	121	1354	1439	1120	1257
"ARV1"	491	987	662	1500	1070
"ARVCF"	950	915	1383	112	932
"ARX"	420	811	107	1316	679
"AS3MT"	510	857	1075	1242	1416
"ASAH1"	595	845	1366	80	1203
"ASAH2"	169	1326	55	1225	220
"ASAP1"	1027	617	712	886	605
"ASAP2"	1411	1081	335	1155	1223
"ASAP3"	413	351	1465	971	1379
"ASB1"	1232	807	1414	984	1310
"ASB10"	450	330	1284	860	959
"ASB11"	1387	422	1292	35	423
"ASB12"	1372	519	824	1023	1234
"ASB13"	577	1331	554	1309	617
"ASB14"	1464	1087	1208	237	758
"ASB15"	312	99	1468	857	1067
"ASB16"	1413	293	847	970	1295
"ASB17"	1223	1016	425	84	900
"ASB18"	417	410	1428	1320	1237
"ASB2"	1467	668	1322	398	1463
"ASB4"	907	1050	449	541	244
"ASB5"	1290	559	885	120	1375
"ASB6"	1279	359	39	531	1050
"ASB7"	367	611	1488	1107	826
"ASB8"	1165	686	204	326	1088
"ASB9"	211	688	1252	678	540
"ASCC1"	1465	714	91	134	931
"ASCC2"	271	210	432	771	433
"ASCC3"	1285	130	597	426	763
"ASCL1"	303	315	1303	643	1093
"ASCL2"	666	957	1244	1469	1010
"ASCL3"	1261	1243	309	74	1320
"ASCL4"	1264	344	406	62	535
"ASCL5"	712	237	1456	1059	1028
"ASF1A"	217	1267	1217	1251	1128
"ASF1B"	823	1353	69	5	335
"ASGR1"	317	722	1301	1078	1338
"ASGR2"	821	1096	1130	1246	896
"ASH1L"	256	14	764	1448	1378
"ASH2L"	319	177	900	1191	1449
"ASIC1"	951	633	993	245	512
"ASIC2"	876	1316	73	455	402
"ASIC3"	1195	646	624	789	1476
"ASIC4"	653	544	299	491	768
"ASIC5"	290	212	142	1282	239
"ASIP"	1363	1340	288	1029	1289
"ASL"	1186	385	882	288	793
"ASNA1"	255	825	864	564	357
"ASNS"	1365	1144	857	308	377
"ASNSD1"	1405	242	723	903	331
"ASPA"	514	1341	881	523	576
"ASPDH"	953	321	185	1350	1204
"ASPG"	986	188	553	407	910
"ASPH"	1084	649	482	1083	288
"ASPHD1"	1341	192	1215	1299	723
"ASPHD2"	563	1322	1260	961	970
"ASPM"	471	1073	576	1455	580
"ASPN"	740	1163	1346	1388	1480
"ASPRV1"	654	199	947	261	928
"ASPSCR1"	1452	707	1364	1187	455
"ASRGL1"	232	1405	1156	616	657
"ASS1"	520	90	1237	431	1076
"ASTE1"	1498	550	682	599	290
"ASTL"	395	1393	917	104	479
"ASTN1"	732	715	895	969	917
"ASTN2"	1324	1251	1081	18	645
"ASUN"	230	303	1245	175	519
"ASXL1"	158	94	700	285	148
"ASXL2"	1214	98	1221	377	588
"ASXL3"	1171	1339	798	854	334
"ASZ1"	300	667	1317	683	529
"ATAD1"	834	338	19	156	1342
"ATAD2"	1329	1005	1354	1343	892
"ATAD2B"	676	925	1161	685	895
"ATAD3A"	670	213	79	1261	765
"ATAD3B"	956	1102	1173	1314	744
"ATAD3C"	99	902	329	1052	179
"ATAD5"	273	437	830	550	104
"ATAT1"	1108	389	489	754	1394
"ATCAY"	1471	1302	1410	1045	1488
"ATE1"	461	533	1314	660	167
"ATF1"	860	834	1311	1153	92
"ATF2"	663	927	951	1095	1099
"ATF3"	12	144	65	403	21
"ATF4"	1375	37	1236	487	751
"ATF5"	843	1330	1352	467	551
"ATF6"	571	1377	1490	269	954
"ATF6B"	787	1189	760	1253	493
"ATF7"	495	521	222	196	223
"ATF7IP"	1125	661	139	204	384
"ATF7IP2"	661	378	967	797	1328
"ATG10"	1215	77	344	1142	655
"ATG12"	527	1312	10	877	7
"ATG13"	946	457	1460	951	573
"ATG14"	839	1214	1427	1465	1400
"ATG16L1"	647	1492	1047	829	363
"ATG16L2"	9	944	261	948	351
"ATG2A"	669	390	110	734	322
"ATG2B"	568	1376	346	359	1268
"ATG3"	149	1396	1077	229	235
"ATG4A"	1127	1042	1371	913	1228
"ATG4B"	185	176	1050	1184	767
"ATG4C"	968	1463	987	1327	1146
"ATG4D"	890	36	607	1039	1177
"ATG5"	26	69	159	77	210
"ATG7"	940	328	1266	83	301
"ATG9A"	1045	1475	1095	881	1336
"ATHL1"	1164	858	1405	437	913
"ATIC"	684	262	465	433	1462
"ATL1"	1427	1288	1289	202	652
"ATL2"	285	1116	654	775	1140
"ATL3"	813	391	1234	657	1041
"ATM"	945	121	242	451	95
"ATMIN"	174	467	823	836	1026
"ATN1"	1175	781	115	414	203
"ATOH1"	1244	1025	259	311	794
"ATOH7"	1227	231	209	1125	1365
"ATOH8"	757	877	379	1254	1156
"ATOX1"	1321	620	1469	841	1254
"ATP10A"	1268	1021	687	115	1179
"ATP10B"	1259	636	748	1264	320
"ATP10D"	1046	1299	430	1033	1305
"ATP11A"	630	648	889	268	199
"ATP11B"	511	189	111	1483	130
"ATP11C"	325	553	996	415	521
"ATP12A"	1306	1439	633	23	59
"ATP13A1"	781	964	163	823	841
"ATP13A2"	1292	468	441	532	653
"ATP13A3"	1050	1062	841	236	975
"ATP13A4"	399	367	343	1024	365
"ATP13A5"	272	1126	957	647	219
"ATP1A1"	1035	608	488	798	1218
"ATP1A2"	1483	894	1455	863	1372
"ATP1A3"	457	1215	523	1286	241
"ATP1A4"	1409	933	781	740	1158
"ATP1B1"	362	72	529	884	1102
"ATP1B2"	887	896	1408	352	99
"ATP1B3"	224	399	999	1172	154
"ATP1B4"	371	713	54	838	925
"ATP2A1"	11	1	3	1489	83
"ATP2A2"	1493	584	327	102	1112
"ATP2A3"	928	1099	1211	88	126
"ATP2B1"	1499	418	756	149	1202
"ATP2B2"	770	812	245	571	1016
"ATP2B3"	1374	455	227	953	1415
"ATP2B4"	979	290	1372	240	1173
"ATP2C1"	1038	354	605	693	865
"ATP2C2"	943	175	325	817	171
"ATP4A"	853	1206	922	666	1330
"ATP4B"	1187	986	815	555	1051
"ATP5A1"	939	1360	1134	763	387
"ATP5B"	393	383	385	1193	1105
"ATP5C1"	578	340	1188	418	748
"ATP5D"	1099	81	865	320	1132
"ATP5F1"	167	1240	1293	1431	191
"ATP5G1"	1490	1384	1136	1179	1420
"ATP5G2"	418	1203	101	574	174
"ATP5G3"	526	318	861	61	1108
"ATP5H"	46	1010	998	490	1222
"ATP5I"	1301	505	1391	579	1245
"ATP5J"	1438	1387	176	1459	192
"ATP5J2"	383	1415	663	1040	1367
"ATP5L"	889	913	1452	1034	1307
"ATP5L2"	792	1372	791	882	354
"ATP5O"	861	291	1258	1262	1429
"ATP5S"	1298	1468	1442	758	1288
"ATP5SL"	1151	920	1109	703	1147
"ATP6AP1"	1203	577	179	355	646
"ATP6AP1L"	1459	1148	635	1163	780
"ATP6AP2"	978	148	6	181	380
"ATP6V0A1"	1358	998	1481	1066	761
"ATP6V0A2"	916	511	90	1168	778
"ATP6V0A4"	1318	941	1133	1430	1374
"ATP6V0B"	246	625	1379	356	523
"ATP6V0C"	1311	1423	1358	1383	1255
"ATP6V0D1"	472	254	692	516	91
"ATP6V0D2"	920	999	290	700	1346
"ATP6V0E1"	1346	750	496	1152	698
"ATP6V0E2"	307	111	420	366	762
"ATP6V1A"	1246	62	997	78	117
"ATP6V1B1"	1267	1495	759	931	1483
"ATP6V1B2"	830	1039	509	1233	260
"ATP6V1C1"	546	545	220	916	114
"ATP6V1C2"	237	659	278	544	1427
"ATP6V1D"	1369	1403	1006	1432	347
"ATP6V1E1"	442	1244	695	1417	379
"ATP6V1E2"	1289	995	650	1395	1214
"ATP6V1F"	1357	1168	659	111	474
"ATP6V1G1"	1115	1006	338	810	596
"ATP6V1G2"	1257	1401	736	391	1031
"ATP6V1G3"	223	743	550	611	766
"ATP6V1H"	78	341	969	1422	1258
"ATP7A"	529	1453	1073	244	506
"ATP7B"	330	126	932	494	1081
"ATP8A1"	758	1049	187	1126	280
"ATP8A2"	1258	71	894	537	375
"ATP8B1"	1260	1421	1449	975	1224
"ATP8B2"	1380	427	413	1341	127
"ATP8B3"	1307	1253	860	447	1246
"ATP8B4"	725	1224	918	911	1292
"ATP9A"	201	122	152	815	311
"ATP9B"	1269	1223	850	851	760
"ATPAF1"	1020	842	866	1004	78
"ATPAF2"	1265	1028	1487	1357	591
"ATPIF1"	458	300	973	629	277
"ATR"	112	784	796	1496	73
"ATRAID"	235	1336	196	1208	1163
"ATRIP"	885	1082	323	728	1054
"ATRN"	419	1095	292	831	483
"ATRNL1"	87	1114	415	474	536
"ATRX"	962	601	157	567	88
"ATXN1"	625	1298	652	675	665
"ATXN10"	1128	827	352	897	364
"ATXN1L"	1433	602	1419	292	715
"ATXN2"	930	514	667	873	448
"ATXN2L"	340	370	1337	439	503
"ATXN3"	871	740	60	795	410
"ATXN3L"	1295	1333	331	408	1043
"ATXN7"	464	91	778	1020	372
"ATXN7L1"	276	49	32	100	1194
"ATXN7L2"	7	1093	1037	786	1362
"ATXN7L3"	1229	787	1085	935	601
"ATXN7L3B"	1055	989	443	11	431
"AUH"	998	245	1464	1423	904
"AUNIP"	519	829	869	1169	1096
"AUP1"	180	585	461	761	376
"AURKA"	1364	1070	397	979	1421
"AURKAIP1"	987	614	1286	753	903
"AURKB"	532	296	1329	206	222
"AURKC"	355	394	1413	739	939
"AUTS2"	352	159	48	692	482
"AVEN"	1294	802	359	690	844
"AVIL"	1240	466	1048	634	1384
"AVL9"	705	616	1247	760	955
"AVP"	1101	523	376	1069	1153
"AVPI1"	785	860	747	378	65
"AVPR1A"	412	313	598	1332	1152
"AVPR1B"	730	375	498	497	1387
"AVPR2"	1042	1308	356	129	1428
"AWAT1"	686	887	1499	1281	1186
"AWAT2"	354	757	232	434	983
"AXDND1"	153	675	502	689	254
"AXIN1"	657	1389	153	435	879
"AXIN2"	115	541	1030	645	467
"AXL"	1032	463	1021	248	159
"AZGP1"	1414	1248	1016	314	1020
"AZI1"	550	1207	1264	247	949
"AZI2"	1041	1478	629	1232	160
"AZIN1"	469	29	470	280	898
"AZU1"	1249	1412	1022	1192	1139
"B2M"	1494	1066	436	150	162
"B3GALNT1"	88	794	828	390	769
"B3GALNT2"	540	958	571	1047	1120
"B3GALT1"	858	1174	1448	709	968
"B3GALT2"	36	1034	1395	1030	992
"B3GALT4"	1373	333	1166	578	1454
"B3GALT5"	689	356	1342	548	1469
"B3GALT6"	866	412	768	1196	1171
"B3GALTL"	736	1278	1270	1207	1130
"B3GAT1"	97	142	537	58	1209
"B3GAT2"	59	145	510	1144	306
"B3GAT3"	1352	561	965	52	291
"B3GNT1"	1148	890	1153	1122	1092
"B3GNT2"	981	18	84	64	626
"B3GNT3"	833	508	1363	905	948
"B3GNT4"	1417	1220	294	508	432
"B3GNT5"	1479	754	78	600	383
"B3GNT6"	1376	218	128	188	1118
"B3GNT7"	603	1179	719	185	940
"B3GNT8"	249	1110	1165	774	986
"B3GNT9"	328	372	972	1424	1017
"B3GNTL1"	429	178	567	1111	1236
"B4GALNT1"	219	1228	316	252	33
"B4GALNT2"	1276	864	612	195	857
"B4GALNT3"	638	197	694	591	1083
"B4GALNT4"	332	1212	1326	1205	1042
"B4GALT1"	1091	1359	382	500	614
"B4GALT2"	133	295	1485	1322	1479
"B4GALT3"	658	930	1036	187	477
"B4GALT4"	1277	1167	614	934	1036
"B4GALT5"	1444	48	143	1334	774
"B4GALT6"	1037	1434	641	1323	613
"B4GALT7"	451	450	1175	1412	1023
"B9D1"	1094	380	1338	409	1188
"B9D2"	1434	1072	1199	1313	422
"BAALC"	1477	1350	845	639	1451
"BAAT"	1126	1383	231	416	1386
"BABAM1"	14	425	27	1075	105
"BACE1"	1472	1285	1361	676	185
"BACE2"	678	1003	1135	1146	1357
"BACH1"	202	1247	363	549	149
"BACH2"	888	464	183	71	189
"BAD"	692	1296	351	1256	589
"BAG1"	1349	912	228	1043	81
"BAG2"	1156	632	963	1086	77
"BAG3"	120	234	1206	82	1210
"BAG4"	1058	847	424	878	747
"BAG5"	177	1108	1063	228	779
"BAG6"	1250	1211	776	357	1432
"BAHD1"	659	1469	888	272	553
"BAI1"	1468	1160	959	506	1299
"BAI2"	15	2	5	613	112
"BAI3"	1016	773	804	1482	1196
"BAIAP2"	1460	1131	971	298	1066
"BAIAP2L1"	609	965	1131	779	1227
"BAIAP2L2"	593	183	1426	1154	539
"BAIAP3"	100	1476	362	1116	101
"BAK1"	1486	565	690	328	859
"BAMBI"	699	1280	144	295	832
"BANF1"	1423	431	1406	950	388
"BANF2"	1496	1230	1249	1466	1325
"BANK1"	1131	154	167	853	276
"BANP"	586	1371	831	368	1021
"BAP1"	118	1175	23	205	216
"BARD1"	703	1153	846	1089	1216
"BARHL1"	327	1414	1017	805	1347
"BARHL2"	1466	828	933	1130	706
"BARX1"	39	723	800	1390	1225
"BARX2"	111	581	216	309	987
"BASP1"	868	411	868	158	263
"BATF"	779	1143	832	79	446
"BATF2"	556	1067	392	1067	325
"BATF3"	805	403	218	994	1240
"BAX"	382	1417	1191	1389	1267
"BAZ1A"	1130	607	512	1145	31
"BAZ1B"	1167	1428	1126	1025	1437
"BAZ2A"	605	279	1334	1361	982
"BAZ2B"	844	932	505	483	756
"BBC3"	873	1169	1489	1301	488
"BBIP1"	915	1185	752	283	459
"BBOX1"	1415	959	701	363	497
"BBS1"	43	1303	577	1354	142
"BBS10"	980	1345	1020	990	507
"BBS12"	134	1282	72	222	872
"BBS2"	171	1462	445	270	654
"BBS4"	1241	496	262	1081	994
"BBS5"	267	1141	1287	1365	659
"BBS7"	1412	552	1459	736	1467
"BBS9"	257	820	1416	1413	454
"BBX"	1399	311	664	742	1424
"BCAM"	466	1458	137	131	1291
"BCAN"	1478	982	626	1457	1094
"BCAP29"	1401	269	1328	803	256
"BCAP31"	1207	1037	1193	1057	791
"BCAR1"	1296	742	1430	879	661
"BCAR3"	641	306	911	1406	1472
"BCAS1"	1312	706	1446	1222	1009
"BCAS2"	671	789	1262	978	730
"BCAS3"	1379	605	1044	1358	155
"BCAS4"	446	336	1080	1230	866
"BCAT1"	441	236	360	1071	726
"BCAT2"	236	1456	773	1494	131
"BCCIP"	1172	171	255	396	1448
"BCDIN3D"	852	1094	1004	585	1303
"BCHE"	1371	748	1305	249	1331
"BCKDHA"	445	475	586	1329	520
"BCKDHB"	784	141	361	457	407
"BCKDK"	895	548	1198	595	1401
"BCL10"	1184	1480	946	56	851
"BCL11A"	1323	426	203	1453	217
"BCL11B"	561	456	1025	976	693
"BCL2"	796	751	1280	1414	1123
"BCL2A1"	513	760	960	529	310
"BCL2L1"	685	832	1069	138	656
"BCL2L10"	278	1332	642	556	70
"BCL2L11"	1437	563	749	87	902
